size;number;sumbits binary;sumbits huff1;cr huff1;sumbits huff2;cr huff2;sumbits huff3;cr huff3;sumbits bz2+bin;sumbits bz2+huff1;cr bz2+huff1;sumbits bz2+huff2;cr bz2+huff2;sumbits bz2+huff3;cr bz2+huff3;sumbits_qasm;sumbits_bz2_qasm;fidelity;circ_depth
6;10;27696334;26994714;0.9746674054407345;10750252;0.3881471100110217;10779838;0.38921533802993563;2884936;2667208;0.9245293483113664;2462104;0.8534345302634097;2464432;0.8542414805735725;380310712;4198712;0.23151467546109952;3526839
6;11;27614559;26917635;0.9747624432459704;10720448;0.388217244389092;10750563;0.3893077923134677;2868112;2642360;0.9212889873198815;2428512;0.8467284401724898;2445776;0.8527477309114846;379204360;4179064;0.27434512481274465;3506834
6;12;27691814;26998141;0.9749502506408573;10756431;0.3884335999079006;10786411;0.38951623031990606;2883104;2668280;0.9254886400213104;2463536;0.8544735118816387;2462632;0.8541599609309966;380289448;4192160;0.2586917202117136;3521121
6;13;27684089;26986248;0.9747927049360374;10739460;0.3879289652623209;10769319;0.3890075270311405;2879672;2666184;0.9258637789303782;2443208;0.8484327381729586;2449696;0.8506857725463177;380162776;4201032;0.2811016345155818;3517638
6;14;27671479;26971371;0.9746992923652545;10747091;0.38838151730162307;10776857;0.3894572097140164;2890360;2666944;0.922703054290815;2465480;0.8530010102547779;2465168;0.8528930652237091;379975624;4196088;0.2574705623849593;3512666
6;15;27655694;26958309;0.9747833122538888;10740974;0.3883820091443014;10770890;0.3894637393659331;2894080;2683520;0.9272445820433437;2470704;0.8537096417514374;2476736;0.8557938965059708;379769928;4213496;0.2114463773792387;3507148
6;16;27635299;26938331;0.9747797915991429;10730038;0.3882729113949518;10760804;0.3893861977031622;2881640;2663504;0.9243014394580864;2443896;0.8480920586888022;2460736;0.8539359531377966;379491400;4193744;0.26482716372243625;3515601
6;17;27625294;26929449;0.9748113087954828;10724870;0.38822645652205545;10755186;0.3893238566076437;2884672;2669632;0.9254542630843299;2458616;0.8523034854569255;2467512;0.8553873715971868;379357864;4188112;0.2860421473220396;3502104
6;18;27644389;26944729;0.9746907048660037;10748987;0.3888306954442003;10778727;0.38990650146038675;2885904;2671632;0.925752207973654;2452768;0.8499132334270302;2456824;0.8513186855834428;379601896;4207488;0.25259077097398336;3508451
6;19;27609694;26911494;0.9747117805796761;10733925;0.38877377634101995;10763628;0.38984959413168435;2868872;2656808;0.9260810520650625;2446984;0.8529428988117979;2450496;0.8541670733305634;379129720;4191608;0.2616643285487557;3508340
6;20;27618919;26919845;0.9746885821273454;10728784;0.3884577814214959;10758844;0.3895461658003342;2876832;2661656;0.9252038353299741;2454440;0.8531746031746031;2458208;0.8544843772594298;379253512;4195080;0.3264867064457797;3506993
